Rank,Release Group,Worldwide,Domestic,%,Foreign,%
604,Vitalina Varela,"$55,862","$14,941",26.7%,"$40,921",73.3%
605,Recorder: The Marion Stokes Project,"$55,632","$55,632",100%,-,-
606,American Dharma,"$51,891","$51,891",100%,-,-
607,Midnight Family,"$51,712","$42,310",81.8%,"$9,402",18.2%
608,Clinton Road,"$50,400","$50,400",100%,-,-
609,Midnight Traveler,"$50,336","$41,265",82%,"$9,071",18%
610,Free Trip to Egypt,"$49,693","$49,693",100%,-,-
611,The Bounty Killer,"$48,815","$48,815",100%,-,-
612,The Queen,"$47,818","$47,818",100%,-,-
613,The Raft,"$47,269","$39,678",83.9%,"$7,591",16.1%
614,High on the Hog,"$45,696","$45,696",100%,-,-
615,Our Time,"$45,579","$14,777",32.4%,"$30,802",67.6%
616,The Proposal,"$45,149","$45,149",100%,-,-
617,Celebration,"$44,898","$22,557",50.2%,"$22,341",49.8%
618,What Is Democracy?,"$44,536","$44,536",100%,-,-
619,Maze 2019 Re-release,"$44,381","$44,381",100%,-,-
620,What You Gonna Do When the World's on Fire?,"$44,290","$4,672",10.5%,"$39,618",89.5%
621,Carmine Street Guitars,"$44,253","$44,253",100%,-,-
622,Slut in a Good Way,"$44,240","$40,513",91.6%,"$3,727",8.4%
623,Union,"$41,656","$41,656",100%,-,-
624,Why Don't You Just Die!,"$40,995",-,-,"$40,995",100%
625,Aniara,"$40,124","$40,124",100%,-,-
626,Loro,"$39,520","$35,613",90.1%,"$3,907",9.9%
627,Zilla and Zoe,"$39,003","$39,003",100%,-,-
628,The Bra,"$38,992",-,-,"$38,992",100%
629,Shed of the Dead,"$38,901","$38,901",100%,-,-
630,Batman Forever 2019 Re-release,"$38,387","$38,014",99%,$373,1%
631,Memory: The Origins of Alien,"$37,272","$31,378",84.2%,"$5,894",15.8%
632,The Quiet One,"$37,010","$37,010",100%,-,-
633,The Death of Dick Long,"$36,856","$36,856",100%,-,-
634,Ága,"$35,178","$35,178",100%,-,-
635,Killer Unicorn,"$33,901","$33,901",100%,-,-
636,Moonlight Sonata: Deafness in Three Movements,"$33,823","$33,823",100%,-,-
637,Redoubt,"$33,155","$33,155",100%,-,-
638,Shooting the Mafia,"$32,792","$10,881",33.2%,"$21,911",66.8%
639,An Acceptable Loss,"$32,427","$32,427",100%,-,-
640,10E,"$32,413","$32,413",100%,-,-
641,Desolation Center,"$32,016","$32,016",100%,-,-
642,Gift,"$31,588","$31,588",100%,-,-
643,The Cat Rescuers,"$31,540","$31,540",100%,-,-
644,Buddy,"$31,203","$31,203",100%,-,-
645,Pasolini 2019 Re-release,"$30,757","$30,757",100%,-,-
646,Los Reyes,"$30,418","$30,418",100%,-,-
647,Lionel Richie at Glastonbury,"$30,123","$30,123",100%,-,-
648,The Perfect Race,"$29,644","$29,644",100%,-,-
649,The Ground Beneath My Feet,"$29,251","$29,251",100%,-,-
650,Batman & Robin 2019 Re-release,"$28,793","$28,597",99.3%,$196,0.7%
651,The Load,"$28,410","$28,410",100%,-,-
652,El Norte 2019 Re-release,"$27,920","$27,920",100%,-,-
653,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768","$17,122",61.7%,"$10,646",38.3%
654,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073","$27,073",100%,-,-
655,Wrestle,"$26,597","$26,597",100%,-,-
656,Donnybrook,"$26,284","$26,284",100%,-,-
657,Light from Light,"$24,808","$24,808",100%,-,-
658,Strike,"$24,743","$15,758",63.7%,"$8,985",36.3%
659,Hyenas,"$24,672","$24,672",100%,-,-
660,The Aspern Papers,"$24,554","$9,277",37.8%,"$15,277",62.2%
661,Chasing Einstein,"$24,057","$24,057",100%,-,-
662,Steven Universe: The Movie,"$24,012",-,-,"$24,012",100%
663,Robert the Bruce,"$23,425",-,-,"$23,425",100%
664,Ode to Joy,"$22,594","$17,303",76.6%,"$5,291",23.4%
665,The Sound of Silence,"$21,994","$20,013",91%,"$1,981",9%
666,Wicked Witches,"$21,600","$21,600",100%,-,-
667,Round of Your Life,"$20,941","$20,941",100%,-,-
668,The All Americans,"$20,324","$20,324",100%,-,-
669,General Magic,"$20,046","$20,046",100%,-,-
670,The Gospel of Eureka,"$20,039","$20,039",100%,-,-
671,Scandalous: The True Story of the National Enquirer,"$18,759","$18,759",100%,-,-
672,Before Stonewall,"$18,724","$18,724",100%,-,-
673,The Return of Martin Guerre 2019 Re-release,"$18,603","$18,603",100%,-,-
674,"Phoenix, Oregon","$18,356","$18,356",100%,-,-
675,The Cranes Are Flying,"$17,923","$17,923",100%,-,-
676,Chained for Life,"$17,431","$17,431",100%,-,-
677,Joseph Pulitzer: Voice of the People,"$16,970","$16,970",100%,-,-
678,Virginia Minnesota,"$16,118","$16,118",100%,-,-
679,Starfish,"$15,849","$15,849",100%,-,-
680,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712","$15,712",100%,-,-
681,The Competition 2019 Re-release,"$15,622","$15,622",100%,-,-
682,Stuffed,"$15,532","$15,532",100%,-,-
683,Between the Lines,"$15,383","$15,383",100%,-,-
684,Funan,"$15,152","$15,152",100%,-,-
685,Wrinkles the Clown,"$14,938","$14,938",100%,-,-
686,ZZ Top: That Little Ol' Band from Texas,"$14,879","$14,879",100%,-,-
687,My Son 2019 Re-release,"$14,450","$14,450",100%,-,-
688,Combat Obscura,"$14,242","$14,242",100%,-,-
689,Screwball,"$13,967","$13,967",100%,-,-
690,Genesis,"$13,856","$6,784",49%,"$7,072",51%
691,This One's for the Ladies,"$13,688","$13,688",100%,-,-
692,Rapid Response,"$13,294","$13,294",100%,-,-
693,Duet for Cannibals 2019 re-release,"$12,962","$12,962",100%,-,-
694,Off Season,"$12,544","$12,544",100%,-,-
695,Bricked,"$12,201","$12,201",100%,-,-
696,Zen for Nothing,"$12,107","$12,107",100%,-,-
697,Imprisoned,"$12,050","$12,050",100%,-,-
698,Quartet,"$12,042","$12,042",100%,-,-
699,"Cassandro, The Exotico!","$11,897","$11,897",100%,-,-
700,Hollywould,"$11,888","$11,888",100%,-,-
701,In Like Flynn,"$11,255","$11,255",100%,-,-
702,Made Me Do It,"$11,151","$11,151",100%,-,-
703,Suburban Birds,"$10,997","$10,997",100%,-,-
704,16 Bars,"$10,985","$10,985",100%,-,-
705,If the Dancer Dances,"$10,912","$10,912",100%,-,-
706,Vision Portraits,"$10,771","$10,771",100%,-,-
