Rank,Release Group,Worldwide,Domestic,%,Foreign,%
146,Cruel Peter,"$163,925",-,-,"$163,925",100%
147,Halloween 2020 Re-release,"$160,000","$160,000",100%,-,-
148,The Booksellers,"$156,502","$25,694",16.4%,"$130,808",83.6%
149,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
150,Irresistible,"$152,904",-,-,"$152,904",100%
151,We Summon the Darkness,"$151,479","$60,794",40.1%,"$90,685",59.9%
152,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
153,The Silencing,"$141,479","$100,746",71.2%,"$40,733",28.8%
154,Incitement,"$140,306","$140,306",100%,-,-
155,Most Wanted,"$138,000","$138,000",100%,-,-
156,Beneath Us,"$137,260","$137,260",100%,-,-
157,Shirley,"$136,022",-,-,"$136,022",100%
158,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
159,Only,"$125,603",-,-,"$125,603",100%
160,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
161,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
162,Lucky Grandma,"$108,099","$102,000",94.4%,"$6,099",5.6%
163,The Wolf of Snow Hollow,"$106,048","$106,048",100%,-,-
164,Miss Juneteenth,"$102,881","$92,349",89.8%,"$10,532",10.2%
165,First Cow,"$101,068","$101,068",100%,-,-
166,The Roads Not Taken,"$99,546","$3,518",3.5%,"$96,028",96.5%
167,First Lady,"$93,298","$93,298",100%,-,-
168,Young Ahmed Domestic,"$83,470","$21,291",25.5%,"$62,179",74.5%
169,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
170,A Call to Spy,"$79,348","$79,348",100%,-,-
171,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
172,How to Build a Girl,"$70,632","$70,632",100%,-,-
173,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
174,Heaven,"$60,065","$60,065",100%,-,-
175,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
176,My Brothers' Crossing,"$59,175","$59,175",100%,-,-
177,A Simple Wedding,"$54,415","$54,415",100%,-,-
178,Miss Fisher & the Crypt of Tears Special Screenings,"$51,158","$51,032",99.8%,$126,0.2%
179,House of Cardin,"$50,659",-,-,"$50,659",100%
180,The Way I See It,"$49,030","$49,030",100%,-,-
181,VHYes,"$47,037","$47,037",100%,-,-
182,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
183,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
184,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
185,Three Christs,"$36,723","$36,723",100%,-,-
